1	26
1	15
1	18
1	18
1	18
1	15
1	18
1	18
1	18
1	15
1	18
1	18
1	15
4	42
1	15
1	18
1	15
1	15
1	15
40	324
13	63
1	18
1	15
1	15
1	15
27	226
2	27
1	18
1	15
1	18
7	39
10	91
1	18
1	15
1	18
1	18
1	15
1	15
1	15
1	18
1	15
1	15
1	18
1	18
1	15
1	18
1	15
1	18
2	26
1	18
1	18
1	18
21	179
1	15
1	15
9	83
1	15
1	15
1	15
1	15
8	75
1	15
9	83
1	15
2	26
1	15
1	15
6	54
1	15
1	15
1	18
1	18
1	15
1	15
1	15
1	15
1	18
1	15
1	18
1	18
1	15
1	15
1	15
1	15
1	18
1	18
1	18
1	15
1	18
1	18
1	18
1	15
1	15
35	278
1	18
1	15
33	267
1	18
256	2083
1	18
4	35
1	18
2	27
1	15
14	117
1	15
1	18
9	47
23	183
1	15
1	18
1	15
22	175
1	18
8	75
1	15
1	15
1	15
23	190
1	18
1	15
1	18
1	18
1	15
1	18
1	15
1	15
1	15
2	23
1	18
1	18
4	35
1	18
1	21
1	18
1	18
1	15
2	27
1	15
1	15
1	18
1	15
38	306
1	15
1	15
1	15
1	18
1	15
1	15
1	15
1	18
1	18
1	18
1	18
1	18
1	15
1	18
1	18
1	15
1	15
1	18
1	18
1	15
1	18
1	18
1	15
1	15
1	18
1	18
1	18
1	15
1	15
1	15
1	18
1	18
1	15
40	320
1	18
1	15
1	18
1	18
1	15
1	18
2	26
1	15
1	15
1	16
1	18
1	18
1	18
1	15
1	18
1	15
1	15
1	15
1	18
1	18
1	15
1	18
28	228
1	18
1	15
1	18
1	15
1	18
1	15
1	15
1	15
1	18
1	18
1	18
1	18
1	18
1	18
1	15
1	18
1	18
1	16
2	26
9	83
2	23
1	18
1	18
1	18
1	18
1	15
1	15
1	15
1	15
1	15
1	18
1	15
1	18
1	18
1	15
5	35
1	18
1	15
23	195
1	18
1	15
1	18
1	15
1	18
1	15
1	18
1	18
1	18
1	15
1	18
1	15
1	18
1	18
1	18
2	27
1	15
1	18
1	15
27	215
1	15
28	223
1	15
0	6
2	26
1	15
1	15
1	18
1	18
1	15
1	15
1	18
2	26
1	15
1	18
2	27
2	27
1	15
2	27
1	18
1	18
1	18
1	15
1	18
1	15
1	15
1	15
6	54
1	18
1	16
1	18
1	15
2	27
1	15
1	15
2	26
1	15
1	15
1	15
1	18
1	15
4	35
7	39
2	26
1	18
2	27
1	18
1	18
1	15
1	15
9	47
1	18
1	15
1	15
1	15
1	18
1	18
13	115
1	15
1	18
2	27
2	26
1	18
1	18
1	15
1	15
1	18
1	18
1	18
1	18
2	19
1	15
1	15
1	18
1	15
5	50
1	15
1	15
1	15
1	15
1	15
1	18
1	18
1	18
27	215
1	19
1	18
1	15
1	18
1	18
4	35
1	15
1	15
4	35
1	15
1	15
1	15
2	23
1	18
12	59
1	18
1	18
1	15
1	15
1	18
1	15
7	66
1	15
1	15
1	15
1	15
2	23
1	15
1	15
1	15
1	15
1	18
1	18
1	18
1	18
1	18
1	15
1	15
1	15
1	15
34	276
1	18
1	15
1	15
1	15
1	18
40	171
1	15
1	18
21	179
1	18
1	18
1	18
1	15
2	27
2	27
25	211
1	18
1	15
1	15
1	18
1	15
1	15
1	15
1	15
1	18
1	15
201	1614
1	18
1	18
1	18
1	18
1	15
1	18
1	15
1	15
1	15
1	18
1	15
201	1614
1	15
1	18
1	15
1	18
1	15
1	15
1	18
1	15
2	27
1	15
1	15
1	18
1	18
1	15
1	18
1	15
1	18
1	18
1	18
1	18
1	15
1	18
1	18
1	18
16	75
1	15
1	15
1	18
24	203
1	15
1	15
1	18
1	15
1	15
1	15
1	18
1	15
1	15
1	18
1	15
1	15
1	18
1	15
1	15
1	18
1	15
1	18
1	15
1	15
1	15
